arch,pretrained,family,aro::VG_Relation,aro::VG_Attribute,aro::Flickr30k_Order,aro::COCO_Order,colorswap::text,colorswap::image,colorswap::group,crepe::atom,crepe::swap,crepe::negate,eqben::eqbenyoucook2::text,eqben::eqbenyoucook2::image,eqben::eqbenyoucook2::group,eqben::eqbengebc::text,eqben::eqbengebc::image,eqben::eqbengebc::group,eqben::eqbenag::text,eqben::eqbenag::image,eqben::eqbenag::group,eqben::eqbenkubric_loc::text,eqben::eqbenkubric_loc::image,eqben::eqbenkubric_loc::group,eqben::eqbenkubric_cnt::text,eqben::eqbenkubric_cnt::image,eqben::eqbenkubric_cnt::group,eqben::eqbenkubric_attr::text,eqben::eqbenkubric_attr::image,eqben::eqbenkubric_attr::group,eqben::eqbensd::text,eqben::eqbensd::image,eqben::eqbensd::group,imagecode::videos,imagecode::static,mmvp_vlm::Orientation and Direction::text,mmvp_vlm::Orientation and Direction::image,mmvp_vlm::Orientation and Direction::group,mmvp_vlm::Presence of Specific Features::text,mmvp_vlm::Presence of Specific Features::image,mmvp_vlm::Presence of Specific Features::group,mmvp_vlm::State and Condition::text,mmvp_vlm::State and Condition::image,mmvp_vlm::State and Condition::group,mmvp_vlm::Quantity and Count::text,mmvp_vlm::Quantity and Count::image,mmvp_vlm::Quantity and Count::group,mmvp_vlm::Positional and Relational Context::text,mmvp_vlm::Positional and Relational Context::image,mmvp_vlm::Positional and Relational Context::group,mmvp_vlm::Color and Appearance::text,mmvp_vlm::Color and Appearance::image,mmvp_vlm::Color and Appearance::group,mmvp_vlm::Structural Characteristics::text,mmvp_vlm::Structural Characteristics::image,mmvp_vlm::Structural Characteristics::group,mmvp_vlm::Texts::text,mmvp_vlm::Texts::image,mmvp_vlm::Texts::group,mmvp_vlm::Viewpoint and Perspective::text,mmvp_vlm::Viewpoint and Perspective::image,mmvp_vlm::Viewpoint and Perspective::group,sugarcrepe::replace_obj,sugarcrepe::replace_att,sugarcrepe::replace_rel,sugarcrepe::swap_obj,sugarcrepe::swap_att,sugarcrepe::add_obj,sugarcrepe::add_att,svo_probes::subj_neg,svo_probes::verb_neg,svo_probes::obj_neg,valse::existence,valse::plurals,valse::counting-hard,valse::counting-small-quant,valse::counting-adversarial,valse::relations,valse::action-replacement,valse::actant-swap,valse::coreference-standard,valse::coreference-hard,valse::foil-it,vl_checklist::Object_Location_center,vl_checklist::Object_Location_margin,vl_checklist::Object_Location_mid,vl_checklist::Object_Size_large,vl_checklist::Object_Size_medium,vl_checklist::Object_Size_small,vl_checklist::Attribute_action,vl_checklist::Attribute_color,vl_checklist::Attribute_material,vl_checklist::Attribute_size,vl_checklist::Attribute_state,vl_checklist::Relation_action,vl_checklist::Relation_spatial,whatsup::WhatsUp_A,whatsup::WhatsUp_B,whatsup::COCO_QA_ONE,whatsup::COCO_QA_TWO,whatsup::VG_QA_ONE,whatsup::VG_QA_TWO,winoground::text,winoground::image,winoground::group,coco_karpathy::i2t/R@1,coco_karpathy::i2t/R@5,coco_karpathy::i2t/R@10,coco_karpathy::t2i/R@1,coco_karpathy::t2i/R@5,coco_karpathy::t2i/R@10,flickr30k::i2t/R@1,flickr30k::i2t/R@5,flickr30k::i2t/R@10,flickr30k::t2i/R@1,flickr30k::t2i/R@5,flickr30k::t2i/R@10,elevator::caltech101,elevator::cifar10,elevator::cifar100,elevator::country211,elevator::dtd,elevator::eurosat-clip,elevator::fer2013,elevator::fgvc-aircraft-2013b,elevator::flower102,elevator::food101,elevator::gtsrb,elevator::hateful-memes,elevator::imagenet-1k,elevator::kitti-distance,elevator::mnist,elevator::oxford-iiit-pets,elevator::patchcamelyon,elevator::rendered-sst2,elevator::resisc45-clip,elevator::stanfordcar,elevator::voc2007classification
DAC-SAM,cc3m-ft,StructuredCLIP,77.1695713732699,70.53655262412614,94.16,91.51139544182327,34.0,18.666666666666668,13.333333333333334,57.65058198666516,46.644159351789334,86.03132404785298,41.77844664005758,49.078496804728566,30.306004493009663,11.080485115766264,16.482910694597575,4.02425578831312,7.920989217448129,11.58971164842346,2.079929750040843,2.6,4.75,0.4,16.05,10.35,2.35,42.3,56.599999999999994,29.849999999999998,87.83873099801718,88.89623265036352,80.10575016523464,17.307692307692307,54.65116279069767,13.333333333333334,0.0,0.0,0.0,20.0,0.0,13.333333333333334,26.666666666666668,6.666666666666667,0.0,6.666666666666667,0.0,0.0,13.333333333333334,0.0,53.333333333333336,66.66666666666666,40.0,26.666666666666668,26.666666666666668,26.666666666666668,26.666666666666668,26.666666666666668,13.333333333333334,6.666666666666667,20.0,0.0,91.2227602905569,85.91370558375635,83.92603129445236,71.83673469387755,75.37537537537537,87.48787584869059,95.52023121387283,88.4656652360515,84.33040005915848,92.5269802484219,75.84158415841584,62.51468860164512,62.78801843317973,61.55555555555555,62.37337192474675,68.41121495327103,82.09876543209876,82.29715489989464,52.40112994350282,44.230769230769226,92.25874867444327,92.20833333333333,85.82006074733347,90.19371069182391,92.20833333333333,86.69147108970749,83.85151515151514,74.45,79.05,86.35,65.55,73.84463336875663,85.40000000000002,94.19999999999999,27.184466019417474,27.205882352941174,47.7080551846907,54.090909090909086,46.810344827586206,51.20274914089347,21.25,12.75,8.5,33.12,57.84,68.8,33.94242303078769,59.72011195521791,70.0359856057577,59.7,82.7,89.0,61.7,85.7,91.24,81.32931393178077,89.86,64.07000000000001,14.786729857819905,40.42553191489361,49.72,47.952075787127335,8.885918003565063,48.86634833250908,72.28910891089109,24.84560570071259,55.6576146965163,52.349999999999994,18.70604781997187,45.269999999999996,76.65577048713187,58.92333984375,59.9121361889072,54.67857142857143,39.845790324586496,84.08981352927405
DAC-LLM,cc3m-ft,StructuredCLIP,81.28878578477546,73.91886583298177,95.94,94.41823270691724,32.33333333333333,18.0,13.666666666666666,57.68448412249971,51.424713031735315,72.20713171126394,39.69334118519488,51.161421186939734,29.84797923618836,11.300992282249172,17.916207276736493,4.465270121278941,7.4865218101617375,11.308405489299133,2.0334708380983497,4.2,4.5,0.6,24.95,18.6,8.25,42.1,52.400000000000006,28.799999999999997,85.78982154659617,89.55717118307997,79.44481163251818,15.224358974358973,56.74418604651162,13.333333333333334,13.333333333333334,0.0,26.666666666666668,20.0,13.333333333333334,20.0,26.666666666666668,13.333333333333334,20.0,20.0,13.333333333333334,6.666666666666667,6.666666666666667,0.0,60.0,53.333333333333336,40.0,33.33333333333333,40.0,26.666666666666668,20.0,26.666666666666668,6.666666666666667,6.666666666666667,6.666666666666667,0.0,94.43099273607749,89.34010152284264,84.42389758179232,75.10204081632654,74.17417417417418,89.62172647914646,97.6878612716763,89.431330472103,84.45611180950972,92.83241702300957,75.24752475247524,66.15746180963572,62.55760368663594,61.66666666666667,58.32127351664255,71.40186915887851,79.78395061728395,82.92939936775554,45.62146892655367,42.30769230769231,94.27359490986214,91.94166666666668,84.19786619104802,89.33443396226414,91.96666666666665,85.56721192771325,79.42213804713805,74.85,82.1,88.80000000000001,68.05,73.17268862911797,85.89999999999999,85.9,28.398058252427184,34.55882352941176,42.14508233199822,51.13636363636363,48.706896551724135,50.51546391752577,22.5,10.5,4.75,29.92,54.52,65.6,37.32906837265094,63.49860055977609,73.80247900839665,53.0,79.8,87.9,64.6,87.96,92.94,82.56934222063015,90.34,64.09,14.265402843601896,38.40425531914894,52.559999999999995,50.71050431875174,10.536541889483065,49.66948987195783,74.14257425742574,24.180522565320665,56.342513321918354,51.056000000000004,16.455696202531644,42.02,74.39961671372701,50.0213623046875,54.42064799560681,52.15873015873016,39.435393607760226,85.05663253209777
NegCLIP,coco-ft,StructuredCLIP,81.75939044120044,72.07445712115182,87.14,82.55897640943623,38.0,24.0,18.333333333333332,32.15617583907786,42.5523295070898,16.1474888747616,52.69035311566228,54.52463521559903,40.153547514667714,14.66372657111356,19.18412348401323,6.284454244762955,18.779611174644668,10.644706747263518,4.733703643195556,7.55,2.7,0.65,37.05,25.5,15.75,52.7,56.8,37.45,89.75545274289492,90.15201586252478,82.55122273628552,18.055555555555554,62.7906976744186,26.666666666666668,20.0,13.333333333333334,13.333333333333334,13.333333333333334,6.666666666666667,20.0,46.666666666666664,13.333333333333334,6.666666666666667,13.333333333333334,0.0,26.666666666666668,20.0,13.333333333333334,60.0,46.666666666666664,33.33333333333333,26.666666666666668,20.0,13.333333333333334,33.33333333333333,26.666666666666668,20.0,26.666666666666668,26.666666666666668,13.333333333333334,93.82566585956417,87.94416243654823,74.3954480796586,75.91836734693878,77.02702702702703,90.05819592628515,85.11560693641619,91.97961373390558,86.82984544849516,93.4229281205457,75.04950495049505,70.15276145710928,69.23963133640552,71.22222222222221,54.12445730824892,68.97196261682244,82.87037037037037,85.14225500526871,60.31073446327684,59.61538461538461,93.00106044538707,90.38333333333333,79.45115372842645,87.83726415094338,90.28333333333335,84.25994659311642,78.58691077441078,72.15,75.69999999999999,78.2,61.2,67.52236981934112,80.43333333333334,57.099999999999994,33.25242718446602,37.745098039215684,45.972407654650645,46.13636363636363,46.12068965517241,48.10996563573883,30.25,11.0,8.0,59.34,82.8,89.44,45.15393842463015,72.06317473010796,81.7233106757297,85.7,96.4,98.8,71.58,91.8,95.68,88.17051438954132,88.88000000000001,63.2,15.004739336492893,43.08510638297872,47.339999999999996,47.58985789913625,16.80392156862745,62.31159663937458,79.43762376237625,30.213776722090262,54.27341537181354,60.926,27.70745428973277,49.7,85.3708595059971,59.7412109375,58.75892366831411,56.876984126984134,53.99825892301953,84.37110179791836
CLoVe,laioncoco600m-ft,StructuredCLIP,77.42984010661218,69.04609862550427,93.74,91.62734906037585,45.33333333333333,26.666666666666668,18.666666666666668,49.299355859419144,49.46657663740716,25.97815407732763,47.87890684638705,52.93681432528518,36.21453030600449,11.300992282249172,18.90848952590959,4.740904079382579,10.793273157980723,10.595184610357784,2.747202254533573,4.0,5.45,0.8999999999999999,26.75,22.650000000000002,10.0,49.4,59.150000000000006,36.3,80.96497025776603,89.0284203569068,75.34699272967615,16.39957264957265,63.48837209302326,26.666666666666668,20.0,13.333333333333334,13.333333333333334,13.333333333333334,0.0,26.666666666666668,26.666666666666668,13.333333333333334,13.333333333333334,20.0,6.666666666666667,13.333333333333334,6.666666666666667,6.666666666666667,66.66666666666666,66.66666666666666,53.333333333333336,20.0,33.33333333333333,13.333333333333334,40.0,20.0,13.333333333333334,20.0,0.0,0.0,93.09927360774817,91.11675126903553,81.65007112375532,74.6938775510204,77.62762762762763,85.98448108632397,94.65317919075144,87.8755364806867,83.80536863122087,91.95683160252494,74.25742574257426,69.0951821386604,65.43778801843318,64.88888888888889,39.797395079594786,80.5607476635514,80.70987654320987,77.76606954689147,48.58757062146893,49.03846153846153,94.3796394485684,85.25,66.88345282663464,79.24213836477988,84.84166666666667,71.85471471807323,66.60791245791246,72.35,69.35,64.2,59.65,63.54994686503719,66.53333333333335,49.8,34.70873786407767,24.754901960784316,45.393858477970625,51.81818181818182,46.89655172413793,47.42268041237113,22.0,9.5,6.5,48.2,73.98,82.86,42.722910835665736,68.70451819272292,78.24470211915234,69.5,90.4,95.6,68.66,89.98,94.44,85.46087725008992,85.81,66.16,12.635071090047392,37.6063829787234,49.14,38.00501532460295,9.051693404634582,44.55281790519643,71.88514851485148,22.70783847980998,54.63986814101231,53.066,34.73980309423347,36.42,74.13700675914606,56.7108154296875,51.29049972542559,55.23015873015873,48.63822907598557,81.9387700668782
CE-CLIP,coco-ft,StructuredCLIP,81.2042419812593,75.6679787118501,75.8,72.41103558576569,32.666666666666664,22.0,13.333333333333334,40.43959769465476,42.4172856178258,20.828758018840663,43.87881960348099,49.63248925821719,32.17300268271936,14.22271223814774,20.89305402425579,6.780595369349504,19.49334259107989,11.502920274464955,5.191655775200131,5.4,3.35,0.25,36.35,24.75,13.750000000000002,40.550000000000004,38.15,22.5,84.20356906807666,87.37607402511567,76.86715135492399,16.07905982905983,61.16279069767442,6.666666666666667,6.666666666666667,6.666666666666667,13.333333333333334,20.0,13.333333333333334,33.33333333333333,46.666666666666664,26.666666666666668,6.666666666666667,13.333333333333334,6.666666666666667,13.333333333333334,20.0,6.666666666666667,60.0,53.333333333333336,46.666666666666664,26.666666666666668,20.0,20.0,13.333333333333334,20.0,6.666666666666667,13.333333333333334,13.333333333333334,0.0,94.24939467312349,90.35532994923858,81.15220483641536,74.6938775510204,76.57657657657657,92.38603297769156,91.90751445086705,90.3969957081545,87.42882496487466,92.46589289350437,78.41584158415841,77.90834312573442,68.66359447004609,71.77777777777777,60.92619392185239,73.83177570093457,81.17283950617285,87.5658587987355,59.887005649717516,62.5,94.27359490986214,90.22500000000001,79.56437039391585,87.9066037735849,90.54166666666667,84.50797290088191,78.27210798460798,72.65,73.25,80.2,64.95,68.42863974495218,77.46666666666667,69.89999999999999,31.06796116504854,30.392156862745097,42.0115709835336,51.81818181818182,47.06896551724138,47.766323024054984,19.5,12.0,5.25,56.04,81.72,89.02,47.09316273490604,74.11435425829669,83.0827668932427,75.3,93.2,96.9,68.94,89.58,94.14,82.14039180728224,85.9,60.209999999999994,9.563981042654028,35.212765957446805,44.879999999999995,39.648927277793256,9.98306595365419,47.174160189028115,70.1029702970297,27.988915281076803,53.45889808132371,49.918,34.59915611814346,40.56,65.9878289036337,58.782958984375,61.17517847336629,51.51190476190476,35.294117647058826,83.07044502039389
ViT-L-16-SigLIP-256,webli,OpenCLIP,36.52654025250106,62.89374675943129,39.48,33.95441823270692,64.66666666666666,43.0,37.0,22.369759294835575,18.379473328831867,18.482344102178814,73.98852755785296,74.47272568649261,64.53139654081878,12.403528114663727,22.657111356119074,5.843439911797133,14.547765887926808,12.331012089527855,4.552973370364319,4.45,3.85,0.8999999999999999,42.199999999999996,31.25,18.099999999999998,46.1,44.95,27.200000000000003,93.25842696629213,90.81295439524123,86.84732319894249,18.429487179487182,76.04651162790698,33.33333333333333,6.666666666666667,6.666666666666667,20.0,26.666666666666668,13.333333333333334,46.666666666666664,60.0,33.33333333333333,40.0,26.666666666666668,20.0,20.0,6.666666666666667,6.666666666666667,86.66666666666667,80.0,80.0,53.333333333333336,33.33333333333333,33.33333333333333,20.0,20.0,13.333333333333334,60.0,53.333333333333336,46.666666666666664,96.1864406779661,85.91370558375635,69.98577524893315,68.57142857142857,77.02702702702703,90.59165858389913,82.94797687861272,90.74570815450643,86.82984544849516,93.58582773365913,73.26732673267327,68.74265569917743,68.89400921658986,71.11111111111111,65.99131693198264,62.24299065420561,87.5,60.168598524762906,60.451977401129945,57.692307692307686,92.25874867444327,87.575,76.54738056556239,84.67216981132076,87.8,81.05259232412955,72.42311207311208,70.69999999999999,68.25,68.1,57.95,64.4029224229543,66.63333333333334,49.3,26.699029126213592,28.431372549019606,49.66622162883845,48.86363636363637,46.03448275862069,47.07903780068728,37.25,15.25,13.750000000000002,70.78,88.68,93.74,52.29108356657337,75.80567772890844,83.36265493802479,91.8,99.0,99.8,79.02,94.46,96.82,95.43723738241026,96.2,81.92,21.407582938388625,70.0531914893617,57.879999999999995,58.87433825578155,52.588235294117645,88.4850894083377,94.61386138613861,61.19556611243072,60.65513433934486,80.456,19.831223628691983,84.98,96.12346723581852,63.2232666015625,61.779242174629324,69.5,93.88135804004477,84.59709190912724
ViT-H-14-quickgelu,dfn5b,OpenCLIP,33.926941388900175,62.789224441934735,26.279999999999998,27.133146741303477,73.33333333333333,50.33333333333333,45.0,20.053113346140808,15.13841998649561,7.073917817719471,71.48465615389648,72.7060568387533,61.91410935898275,13.065049614112459,23.15325248070562,6.725468577728775,14.797418722430974,13.016663943800033,4.562163045254043,8.649999999999999,4.45,0.95,43.8,33.95,20.95,54.2,51.7,34.599999999999994,92.26701916721744,89.22670191672174,84.4018506278916,20.032051282051285,76.9767441860465,40.0,20.0,13.333333333333334,33.33333333333333,26.666666666666668,20.0,53.333333333333336,73.33333333333333,53.333333333333336,40.0,26.666666666666668,13.333333333333334,33.33333333333333,26.666666666666668,20.0,80.0,66.66666666666666,66.66666666666666,53.333333333333336,46.666666666666664,40.0,33.33333333333333,20.0,13.333333333333334,60.0,53.333333333333336,46.666666666666664,95.94430992736078,88.3248730964467,73.82645803698435,65.71428571428571,77.62762762762763,91.56159068865179,83.38150289017341,91.09442060085837,87.99822524587739,94.07452657299939,72.07920792079207,71.68037602820212,71.31336405529954,71.22222222222221,63.96526772793053,62.616822429906534,86.72839506172839,54.899894625922016,54.09604519774012,54.807692307692314,94.16755037115588,88.03333333333335,75.71113936568482,84.68459119496855,88.075,80.55218618758671,70.20221260221261,69.75,68.75,67.1,57.150000000000006,64.80026567481403,64.96666666666668,46.0,30.582524271844658,29.411764705882355,44.99332443257677,45.22727272727273,45.17241379310345,52.92096219931272,36.0,14.499999999999998,11.0,72.24,90.28,94.44,53.906437425029985,78.04478208716513,85.54178328668533,92.9,99.4,99.9,80.14,95.24,97.42,95.2742253348275,98.78,90.59,34.4218009478673,70.58510638297872,66.92,56.39453886876568,71.37611408199642,90.67389835885537,95.69108910891089,67.73555027711797,56.40812276967884,83.42399999999999,33.47398030942335,85.8,96.47402724055435,64.8681640625,54.64030752333883,77.86111111111111,95.78410645442109,84.89386493976312
ViT-bigG-14,laion2b_s39b_b160k,OpenCLIP,47.49814018972058,63.295046319669666,37.64,32.73490603758496,70.33333333333334,43.333333333333336,40.0,20.66900214713527,16.98852126941256,13.246257874357049,67.12905406879102,67.11378656023032,55.93360814848742,12.899669239250274,24.972436604189635,6.229327453142227,15.954807221042314,12.24830501552034,4.341100310406796,7.3,4.75,1.25,29.099999999999998,32.6,13.65,47.15,51.05,29.25,93.32452081956379,90.15201586252478,85.52544613350959,18.429487179487182,70.46511627906978,13.333333333333334,6.666666666666667,6.666666666666667,33.33333333333333,13.333333333333334,6.666666666666667,53.333333333333336,60.0,46.666666666666664,53.333333333333336,26.666666666666668,26.666666666666668,13.333333333333334,13.333333333333334,0.0,86.66666666666667,60.0,60.0,53.333333333333336,46.666666666666664,40.0,13.333333333333334,26.666666666666668,13.333333333333334,40.0,53.333333333333336,26.666666666666668,96.67070217917676,87.94416243654823,74.89331436699858,62.44897959183674,75.07507507507508,92.24054316197866,84.39306358381504,91.62865575529918,88.26515597410241,94.36905003038282,72.87128712871286,68.39012925969448,63.0184331797235,67.66666666666666,64.83357452966715,62.99065420560748,87.65432098765432,63.013698630136986,53.672316384180796,56.730769230769226,93.84941675503711,86.54166666666667,70.43916437098255,81.1819182389937,85.59166666666665,78.25643706624471,69.77575757575757,70.45,68.25,66.30000000000001,60.4,65.13145589798087,67.06666666666666,54.6,28.155339805825243,29.166666666666668,45.883400089007566,54.54545454545454,44.6551724137931,54.29553264604811,35.5,15.0,12.0,67.28,86.86,92.66,51.395441823270694,74.88604558176729,83.01479408236705,92.9,99.3,99.8,79.54,95.02,97.14,95.19990802413425,98.24000000000001,87.63,33.791469194312796,68.93617021276596,70.38,60.04458066313736,49.501782531194294,81.67550216137931,93.0891089108911,62.454473475851145,53.65332607895537,80.08999999999999,13.080168776371309,71.55,95.18407387563944,55.0201416015625,65.45853926414058,73.86904761904762,94.60266136052729,84.6075997337412
TSVLC-Negs_RB,cc3m-ft,StructuredCLIP,81.0534058092132,72.80185633299463,92.9,87.38504598160736,31.0,18.333333333333332,10.666666666666668,43.1800203412815,46.171505739365294,18.586372305380568,46.875613426683245,52.21487927762873,35.04765643743593,11.245865490628445,17.916207276736493,4.685777287761852,14.966406632903121,10.680954909328541,3.5599779447802646,2.5,4.5,0.4,22.55,12.65,5.5,35.35,45.5,21.5,87.97091870456048,93.72108393919365,84.4018506278916,16.666666666666664,56.04651162790698,0.0,0.0,0.0,20.0,20.0,6.666666666666667,20.0,33.33333333333333,6.666666666666667,26.666666666666668,6.666666666666667,0.0,13.333333333333334,13.333333333333334,13.333333333333334,46.666666666666664,53.333333333333336,33.33333333333333,26.666666666666668,40.0,20.0,13.333333333333334,26.666666666666668,6.666666666666667,6.666666666666667,26.666666666666668,6.666666666666667,91.28329297820824,81.21827411167513,64.15362731152204,68.57142857142857,69.06906906906907,79.43743937924346,91.1849710982659,90.04828326180258,85.22517192930563,94.03380166972104,77.42574257425743,62.27967097532316,63.47926267281107,63.11111111111111,56.00578871201157,64.67289719626169,82.25308641975309,80.18967334035827,47.740112994350284,44.230769230769226,93.00106044538707,89.47500000000001,78.04416955098773,86.5993710691824,89.34166666666665,82.9367833810133,77.00585016835018,69.5,78.44999999999999,83.19999999999999,66.1,69.66030818278426,76.0,74.5,26.45631067961165,27.205882352941174,46.5954606141522,47.72727272727273,44.91379310344827,52.23367697594502,25.25,8.5,6.75,46.12,71.68,80.4,36.35745701719312,62.02319072371051,72.375049980008,74.0,93.2,96.4,64.88,87.26,92.66,83.7429390994688,92.28,66.02,16.251184834123222,39.52127659574468,52.04,43.63332404569518,14.629233511586454,58.21742510131552,81.22376237623763,24.251781472684087,57.82432670304524,58.467999999999996,30.66104078762307,46.85,85.53193276707697,50.0091552734375,59.80230642504119,58.551587301587304,49.18542469842059,84.67948302429221
MobileCLIP-B-LT,datacomp-dr,MobileCLIP,57.662737435086996,68.8470364120346,63.82,55.42582966813274,58.333333333333336,26.666666666666668,20.333333333333332,24.093117866425583,18.690074274139096,10.316130150840895,66.9741979105324,67.13559728674562,55.77657091757726,14.167585446527012,22.05071664829107,6.229327453142227,17.310284267276586,10.547704623427546,4.291578173501062,8.15,4.35,0.6,39.550000000000004,26.950000000000003,14.75,52.2,51.2,32.6,94.18374091209517,92.66358228684733,88.69795109054857,19.017094017094017,73.0232558139535,26.666666666666668,13.333333333333334,6.666666666666667,26.666666666666668,0.0,0.0,46.666666666666664,46.666666666666664,40.0,33.33333333333333,13.333333333333334,13.333333333333334,13.333333333333334,0.0,0.0,80.0,73.33333333333333,60.0,53.333333333333336,40.0,33.33333333333333,33.33333333333333,20.0,20.0,46.666666666666664,20.0,20.0,96.48910411622276,87.43654822335026,70.69701280227596,63.6734693877551,69.66966966966966,90.00969932104753,83.23699421965318,91.12124463519314,87.97604081934483,94.07452657299939,79.8019801980198,70.27027027027027,65.43778801843318,70.88888888888889,63.24167872648335,63.73831775700934,87.5,62.90832455216017,53.954802259887,47.11538461538461,95.01590668080594,89.33333333333333,75.25676579312943,86.58993710691823,89.65833333333335,82.34464816885064,73.51271645021644,74.6,68.25,69.35,62.3,67.94431455897981,73.36666666666666,46.1,32.038834951456316,34.31372549019608,44.726301735647525,52.27272727272727,46.37931034482759,50.51546391752577,34.25,13.0,10.5,68.74,87.98,93.0,50.02399040383847,74.31827269092364,82.60695721711315,92.3,99.1,99.9,76.98,94.04,96.58,94.4826242324526,98.00999999999999,86.96000000000001,25.431279620853083,63.93617021276595,74.53999999999999,51.825020897185844,37.947415329768276,79.42163023109725,92.66138613861386,62.541567695961994,54.78068841913235,77.252,11.533052039381154,88.48,94.34003761338239,54.2572021484375,61.779242174629324,74.28174603174604,88.84467106081333,84.65051559258582
