,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
0,RN50,yfcc15m,OpenCLIP,42.09528069,7,13.7571447,18.70143691,17.81059948,9.62962963,67.59076178,77.68840349,62.48659897,65.62955675,41.58559774,7,28.26,16.47740904,51.2,30.94,32.382,30.69684017,35.91458418,39.73,23.70870452
1,RN101,yfcc15m,OpenCLIP,40.75738883,7,13.49387859,19.11640752,17.46307559,4.444444444,69.3391142,78.36518859,61.31315885,66.31889519,41.2765991,7.5,30.4,17.72091164,54.5,34.04,34.054,31.956291,35.53234591,42.45,25.88045582
2,RN50,cc12m,OpenCLIP,42.49949197,11.33333333,17.93331738,24.14610369,19.85230235,12.59259259,74.0934429,82.2456098,62.31256023,67.61331443,41.57252531,6.5,34.04,23.66253499,61.3,45.9,35.892,33.3580717,38.55788283,47.67,34.78126749
3,RN50,openai,OpenCLIP,62.80262117,16,24.124849,26.64630303,22.15464813,6.666666667,73.84621755,83.71271017,65.15083261,69.57664052,40.98542847,8.5,48.86,28.52459016,80,57.3,59.83,52.78326813,41.68057644,64.43,42.91229508
4,RN101,openai,OpenCLIP,53.40518233,11.66666667,17.74975308,26.83964638,21.41615986,10.37037037,72.99746804,83.3893114,66.48607459,69.2135478,41.90909304,7.5,49.84,30.70371851,79.1,58.08,62.272,55.37299947,40.2452728,64.47,44.39185926
5,RN50x4,openai,OpenCLIP,50.38479458,10,16.80708772,27.98172639,24.54387489,7.407407407,74.13811694,84.05301732,67.02420428,70.50055398,42.46889249,8.5,52.96,33.33466613,82.1,62.54,66.272,56.45260343,40.317473,67.53,47.93733307
6,RN50x16,openai,OpenCLIP,51.8285068,15.66666667,17.12100467,28.43851166,22.54561251,11.85185185,75.60632669,85.39555951,66.42749365,71.27330646,42.30729607,7.5,55.32,35.38984406,85.5,65.32,70.716,60.89497723,41.33017805,70.41,50.35492203
7,RN50x64,openai,OpenCLIP,57.51217943,13.33333333,22.6269471,29.11370145,24.10947003,11.85185185,76.65436173,86.02894203,66.46738573,72.04387407,41.59255958,10,58.46,35.15793683,86.9,68.9,73.914,65.80216477,42.6112172,72.68,52.02896841
8,ViT-B-32,openai,OpenCLIP,57.55243829,12,23.70755529,26.49190578,21.72024327,6.666666667,73.02574342,84.13824737,67.53352271,70.76843289,41.46275226,8.75,50.12,30.45181927,78.8,58.76,63.336,57.09520158,41.15145899,64.46,44.60590964
9,ViT-B-16,openai,OpenCLIP,57.2548698,12,22.05935135,27.54254644,22.02432667,5.185185185,73.41791358,85.69828297,66.86073765,70.75718068,42.99861741,7.5,52.5,33.07876849,82.2,62.08,68.318,60.30376421,41.10825098,67.35,47.57938425
10,ViT-L-14,openai,OpenCLIP,56.63571895,7.333333333,20.2852039,28.74466355,23.32754127,7.407407407,72.95442298,86.22490827,67.45463468,71.55107502,40.65366546,8.5,56.28,36.49340264,85.2,64.92,75.544,66.74059572,40.92271457,70.74,50.70670132
11,ViT-B-32-quickgelu,metaclip_400m,OpenCLIP,41.39819546,18.33333333,14.97022102,30.63392004,23.06689835,14.81481481,74.17929634,85.1069276,66.06432284,67.80210488,41.78040728,9,51.86,35.88964414,77.5,62.34,65.586,57.84589479,40.59587016,64.68,49.11482207
12,ViT-B-16-quickgelu,metaclip_400m,OpenCLIP,40.87985765,11.66666667,14.66785452,31.58912356,22.93657689,12.59259259,75.75485018,84.7836352,67.11596543,67.35931933,40.90047657,8,56.5,39.94802079,85.7,67.62,70.772,61.23422355,39.85390988,71.1,53.7840104
13,ViT-L-14-quickgelu,metaclip_400m,OpenCLIP,39.83323424,13.66666667,15.65012735,32.21072638,25.62988705,18.51851852,77.51482175,87.69922457,67.81753922,70.44178121,41.1527012,10.75,60.02,43.83446621,86.2,73.42,76.19,66.64481156,41.74043568,73.11,58.62723311
14,ViT-B-32-quickgelu,metaclip_fullcc,OpenCLIP,44.91886084,17.66666667,14.72155869,30.85527736,25.06516073,17.03703704,76.69680962,86.5500682,68.37922738,66.93190928,41.23065149,8.75,55.26,38.0967613,80.8,64.98,67.646,60.1187517,41.56693561,68.03,51.53838065
15,ViT-B-16-quickgelu,metaclip_fullcc,OpenCLIP,41.54623342,18.66666667,13.20033677,32.56012461,25.62988705,17.77777778,76.40584538,86.87322404,67.73404283,66.86357845,43.032706,8.5,59.36,41.38344662,85.5,70.72,72.122,63.81292001,41.56586858,72.43,56.05172331
16,ViT-L-14-quickgelu,metaclip_fullcc,OpenCLIP,44.56166782,13.33333333,15.93761771,34.23738609,26.32493484,17.77777778,79.50306863,88.78280876,68.69784908,68.71778085,41.64361623,8.5,64.48,47.07317073,90,76.44,79.17,70.10215284,42.33482009,77.24,61.75658537
17,ViT-H-14-quickgelu,metaclip_fullcc,OpenCLIP,45.137781,19.66666667,16.09757034,34.69229518,28.0625543,17.03703704,80.73362414,89.01008385,70.01628481,70.9966848,41.28509994,10.75,66.22,48.85245902,91.9,78.28,80.524,72.2771343,43.62380684,79.06,63.56622951
18,ViT-B-32,datacomp_s_s13m_b4k,OpenCLIP,35.84328204,5.666666667,12.31284479,10.87029375,13.03214596,11.85185185,54.14101727,61.80350017,52.16855698,57.06549468,42.80160256,7,1.5,1.095561775,2,1.44,3.916,17.36891607,30.37977139,1.75,1.267780888
